#	 ( mouse pet )	 ( abby pet )	#
|	 ( pumpkin dog )	 ( pumpkin kitten )	=
#	 ( oona spotted )	 ( abby striped )	#
#	 ( pumpkin pet )	 ( millie pet )	#
#	 ( ollie pet )	 ( millie pet )	#
#	 ( mertz kitten )	 ( pumpkin kitten )	#
=	 ( marcel kitten )	 ( marcel kitten )	=
#	 ( ollie cat )	 ( ollie pet )	=
#	 ( oona striped )	 ( oona cat )	=
#	 ( abby pet )	 ( abby spotted )	=
=	 ( ollie spotted )	 ( ollie spotted )	=
#	 ( oona striped )	 ( mertz striped )	#
#	 ( mouse spotted )	 ( pumpkin spotted )	#
#	 ( oona spotted )	 ( oona dog )	=
#	 ( mouse pony )	 ( mertz pony )	#
|	 ( abby cat )	 ( abby dog )	=
#	 ( oona dog )	 ( oona pet )	=
#	 ( ollie striped )	 ( mertz striped )	#
#	 ( mouse pet )	 ( mouse striped )	=
|	 ( millie dog )	 ( millie kitten )	=
|	 ( mertz kitten )	 ( mertz dog )	=
#	 ( ollie spotted )	 ( mouse striped )	#
#	 ( oona striped )	 ( ollie striped )	#
#	 ( millie pony )	 ( millie striped )	=
#	 ( oona striped )	 ( mouse striped )	#
#	 ( marcel cat )	 ( marcel pet )	=
|	 ( marcel puppy )	 ( marcel striped )	=
#	 ( ollie dog )	 ( marcel dog )	#
#	 ( ollie pet )	 ( ollie pony )	=
#	 ( oona kitten )	 ( pumpkin kitten )	#
<	 ( pumpkin puppy )	 ( pumpkin spotted )	=
#	 ( millie striped )	 ( ollie spotted )	#
|	 ( marcel kitten )	 ( marcel dog )	=
|	 ( abby dog )	 ( abby kitten )	=
#	 ( mouse striped )	 ( oona spotted )	#
#	 ( millie pet )	 ( millie striped )	=
#	 ( abby dog )	 ( abby pet )	=
#	 ( oona spotted )	 ( marcel spotted )	#
=	 ( marcel spotted )	 ( marcel spotted )	=
^	 ( pumpkin striped )	 ( pumpkin spotted )	=
#	 ( millie dog )	 ( mouse dog )	#
#	 ( millie pet )	 ( mertz pet )	#
#	 ( mertz puppy )	 ( mertz pet )	=
#	 ( marcel cat )	 ( marcel striped )	=
#	 ( marcel dog )	 ( abby dog )	#
#	 ( mouse kitten )	 ( mertz kitten )	#
>	 ( mertz striped )	 ( mertz kitten )	=
#	 ( ollie dog )	 ( ollie spotted )	=
|	 ( mouse pony )	 ( mouse puppy )	=
=	 ( oona kitten )	 ( oona kitten )	=
#	 ( ollie pony )	 ( abby pony )	#
#	 ( millie striped )	 ( millie cat )	=
|	 ( ollie puppy )	 ( ollie cat )	=
#	 ( mouse dog )	 ( mertz dog )	#
#	 ( mertz spotted )	 ( mertz cat )	=
#	 ( millie spotted )	 ( oona striped )	#
#	 ( ollie cat )	 ( millie cat )	#
#	 ( pumpkin kitten )	 ( pumpkin pet )	=
<	 ( ollie kitten )	 ( ollie cat )	=
<	 ( mouse kitten )	 ( mouse cat )	=
#	 ( pumpkin pet )	 ( mouse pet )	#
#	 ( ollie striped )	 ( pumpkin spotted )	#
#	 ( abby spotted )	 ( ollie striped )	#
#	 ( ollie pet )	 ( marcel pet )	#
|	 ( marcel pony )	 ( marcel cat )	=
=	 ( mertz dog )	 ( mertz dog )	=
#	 ( mertz striped )	 ( pumpkin striped )	#
=	 ( ollie puppy )	 ( ollie puppy )	=
#	 ( ollie puppy )	 ( mertz puppy )	#
#	 ( millie cat )	 ( millie pet )	=
#	 ( ollie striped )	 ( pumpkin striped )	#
#	 ( pumpkin dog )	 ( marcel dog )	#
#	 ( oona puppy )	 ( oona pet )	=
#	 ( mouse pony )	 ( oona pony )	#
|	 ( millie puppy )	 ( millie kitten )	=
|	 ( ollie kitten )	 ( ollie spotted )	=
#	 ( oona puppy )	 ( marcel puppy )	#
^	 ( oona spotted )	 ( oona striped )	=
#	 ( mouse striped )	 ( millie spotted )	#
=	 ( mertz kitten )	 ( mertz kitten )	=
#	 ( mouse cat )	 ( mouse striped )	=
=	 ( pumpkin kitten )	 ( pumpkin kitten )	=
#	 ( ollie pony )	 ( millie pony )	#
#	 ( abby pet )	 ( abby puppy )	=
>	 ( mouse striped )	 ( mouse kitten )	=
#	 ( ollie striped )	 ( ollie cat )	=
#	 ( mertz pony )	 ( mertz striped )	=
=	 ( marcel cat )	 ( marcel cat )	=
=	 ( ollie striped )	 ( ollie striped )	=
<	 ( oona puppy )	 ( oona spotted )	=
#	 ( ollie puppy )	 ( millie puppy )	#
#	 ( mertz striped )	 ( mouse striped )	#
#	 ( abby striped )	 ( oona striped )	#
>	 ( ollie spotted )	 ( ollie puppy )	=
=	 ( abby pony )	 ( abby pony )	=
#	 ( mouse kitten )	 ( millie kitten )	#
|	 ( pumpkin cat )	 ( pumpkin puppy )	=
#	 ( pumpkin striped )	 ( pumpkin pet )	=
|	 ( pumpkin puppy )	 ( pumpkin cat )	=
|	 ( mouse pony )	 ( mouse cat )	=
=	 ( mouse spotted )	 ( mouse spotted )	=
>	 ( pumpkin cat )	 ( pumpkin kitten )	=
#	 ( pumpkin dog )	 ( millie dog )	#
#	 ( pumpkin striped )	 ( oona striped )	#
#	 ( marcel dog )	 ( oona dog )	#
|	 ( mertz puppy )	 ( mertz striped )	=
#	 ( oona kitten )	 ( marcel kitten )	#
<	 ( millie puppy )	 ( millie dog )	=
=	 ( mouse dog )	 ( mouse dog )	=
#	 ( mertz spotted )	 ( mertz dog )	=
#	 ( oona puppy )	 ( mertz puppy )	#
#	 ( ollie spotted )	 ( oona spotted )	#
|	 ( mouse cat )	 ( mouse dog )	=
<	 ( mertz puppy )	 ( mertz dog )	=
|	 ( millie cat )	 ( millie dog )	=
|	 ( pumpkin puppy )	 ( pumpkin pony )	=
#	 ( marcel pony )	 ( ollie pony )	#
#	 ( pumpkin dog )	 ( abby dog )	#
#	 ( pumpkin spotted )	 ( pumpkin cat )	=
|	 ( mertz puppy )	 ( mertz cat )	=
<	 ( mouse puppy )	 ( mouse spotted )	=
|	 ( pumpkin pony )	 ( pumpkin cat )	=
|	 ( millie pony )	 ( millie dog )	=
|	 ( marcel dog )	 ( marcel cat )	=
#	 ( pumpkin cat )	 ( mertz cat )	#
#	 ( oona pet )	 ( oona cat )	=
<	 ( mertz puppy )	 ( mertz spotted )	=
#	 ( mertz spotted )	 ( mertz pet )	=
#	 ( pumpkin pet )	 ( mertz pet )	#
|	 ( ollie striped )	 ( ollie puppy )	=
|	 ( abby striped )	 ( abby puppy )	=
#	 ( mouse striped )	 ( mouse cat )	=
|	 ( abby puppy )	 ( abby cat )	=
|	 ( marcel pony )	 ( marcel puppy )	=
|	 ( marcel puppy )	 ( marcel cat )	=
|	 ( mouse cat )	 ( mouse puppy )	=
#	 ( pumpkin striped )	 ( pumpkin pony )	=
|	 ( ollie pony )	 ( ollie kitten )	=
^	 ( abby spotted )	 ( abby striped )	=
#	 ( oona spotted )	 ( mertz spotted )	#
#	 ( millie spotted )	 ( millie pet )	=
#	 ( oona spotted )	 ( pumpkin striped )	#
#	 ( mouse pony )	 ( marcel pony )	#
#	 ( millie cat )	 ( millie spotted )	=
#	 ( abby cat )	 ( abby pet )	=
#	 ( marcel pet )	 ( ollie pet )	#
|	 ( mouse puppy )	 ( mouse pony )	=
<	 ( mouse puppy )	 ( mouse dog )	=
#	 ( millie spotted )	 ( mertz spotted )	#
|	 ( millie cat )	 ( millie puppy )	=
#	 ( ollie pet )	 ( ollie puppy )	=
#	 ( oona pony )	 ( oona pet )	=
#	 ( ollie dog )	 ( oona dog )	#
#	 ( ollie spotted )	 ( ollie cat )	=
#	 ( mouse kitten )	 ( ollie kitten )	#
#	 ( oona dog )	 ( oona spotted )	=
#	 ( abby dog )	 ( abby spotted )	=
#	 ( mouse spotted )	 ( marcel spotted )	#
#	 ( oona striped )	 ( oona pony )	=
#	 ( marcel pet )	 ( oona pet )	#
=	 ( oona striped )	 ( oona striped )	=
#	 ( abby pet )	 ( abby cat )	=
|	 ( mertz pony )	 ( mertz dog )	=
|	 ( pumpkin puppy )	 ( pumpkin kitten )	=
#	 ( marcel pony )	 ( marcel striped )	=
#	 ( abby spotted )	 ( abby cat )	=
#	 ( oona spotted )	 ( millie spotted )	#
#	 ( millie kitten )	 ( ollie kitten )	#
#	 ( oona dog )	 ( ollie dog )	#
#	 ( abby pony )	 ( abby spotted )	=
|	 ( oona pony )	 ( oona kitten )	=
^	 ( mouse striped )	 ( mouse spotted )	=
#	 ( millie pet )	 ( millie kitten )	=
|	 ( millie kitten )	 ( millie puppy )	=
|	 ( mertz pony )	 ( mertz cat )	=
|	 ( mouse striped )	 ( mouse puppy )	=
#	 ( abby pet )	 ( pumpkin pet )	#
#	 ( mouse puppy )	 ( mouse pet )	=
#	 ( marcel pet )	 ( marcel dog )	=
<	 ( oona puppy )	 ( oona dog )	=
^	 ( pumpkin spotted )	 ( pumpkin striped )	=
#	 ( mouse cat )	 ( mertz cat )	#
#	 ( pumpkin pet )	 ( pumpkin cat )	=
#	 ( marcel puppy )	 ( millie puppy )	#
=	 ( abby dog )	 ( abby dog )	=
#	 ( millie striped )	 ( oona striped )	#
^	 ( mertz spotted )	 ( mertz striped )	=
|	 ( abby dog )	 ( abby pony )	=
#	 ( pumpkin kitten )	 ( millie kitten )	#
|	 ( marcel puppy )	 ( marcel kitten )	=
|	 ( mouse pony )	 ( mouse kitten )	=
#	 ( oona pony )	 ( oona striped )	=
=	 ( mertz cat )	 ( mertz cat )	=
>	 ( ollie dog )	 ( ollie puppy )	=
#	 ( millie spotted )	 ( abby striped )	#
#	 ( mertz dog )	 ( mertz striped )	=
#	 ( ollie puppy )	 ( ollie pet )	=
#	 ( pumpkin kitten )	 ( mertz kitten )	#
<	 ( marcel kitten )	 ( marcel striped )	=
^	 ( millie spotted )	 ( millie striped )	=
#	 ( millie pet )	 ( millie spotted )	=
#	 ( ollie cat )	 ( mouse cat )	#
#	 ( pumpkin cat )	 ( ollie cat )	#
#	 ( marcel spotted )	 ( mouse spotted )	#
=	 ( oona pet )	 ( oona pet )	=
|	 ( mouse puppy )	 ( mouse cat )	=
#	 ( mertz spotted )	 ( ollie striped )	#
#	 ( oona puppy )	 ( abby puppy )	#
|	 ( oona kitten )	 ( oona puppy )	=
#	 ( mertz puppy )	 ( oona puppy )	#
=	 ( mertz striped )	 ( mertz striped )	=
>	 ( abby spotted )	 ( abby puppy )	=
|	 ( oona cat )	 ( oona pony )	=
#	 ( abby striped )	 ( mouse spotted )	#
>	 ( pumpkin dog )	 ( pumpkin puppy )	=
#	 ( marcel pet )	 ( marcel puppy )	=
#	 ( mertz spotted )	 ( marcel spotted )	#
|	 ( marcel cat )	 ( marcel puppy )	=
#	 ( marcel spotted )	 ( mertz striped )	#
#	 ( pumpkin spotted )	 ( marcel striped )	#
|	 ( pumpkin striped )	 ( pumpkin puppy )	=
#	 ( mouse striped )	 ( abby spotted )	#
#	 ( mouse pet )	 ( mouse kitten )	=
#	 ( pumpkin spotted )	 ( pumpkin pony )	=
=	 ( mouse cat )	 ( mouse cat )	=
#	 ( millie cat )	 ( marcel cat )	#
#	 ( abby striped )	 ( abby pony )	=
#	 ( marcel striped )	 ( ollie spotted )	#
#	 ( mouse pet )	 ( mouse dog )	=
#	 ( millie puppy )	 ( abby puppy )	#
#	 ( millie dog )	 ( millie striped )	=
>	 ( abby dog )	 ( abby puppy )	=
#	 ( pumpkin pet )	 ( oona pet )	#
<	 ( pumpkin kitten )	 ( pumpkin striped )	=
|	 ( mertz kitten )	 ( mertz puppy )	=
#	 ( oona pet )	 ( abby pet )	#
#	 ( marcel striped )	 ( millie striped )	#
#	 ( marcel pet )	 ( marcel spotted )	=
#	 ( marcel striped )	 ( mouse spotted )	#
|	 ( mouse pony )	 ( mouse dog )	=
#	 ( marcel spotted )	 ( marcel pet )	=
^	 ( mertz striped )	 ( mertz spotted )	=
#	 ( ollie dog )	 ( ollie pet )	=
#	 ( oona spotted )	 ( ollie spotted )	#
#	 ( mouse pet )	 ( ollie pet )	#
#	 ( ollie striped )	 ( ollie pet )	=
#	 ( pumpkin kitten )	 ( mouse kitten )	#
>	 ( marcel cat )	 ( marcel kitten )	=
#	 ( oona pet )	 ( ollie pet )	#
>	 ( oona cat )	 ( oona kitten )	=
#	 ( mouse kitten )	 ( oona kitten )	#
>	 ( mertz cat )	 ( mertz kitten )	=
#	 ( oona dog )	 ( oona striped )	=
#	 ( ollie pet )	 ( ollie striped )	=
|	 ( ollie spotted )	 ( ollie kitten )	=
#	 ( mertz pet )	 ( marcel pet )	#
#	 ( mertz spotted )	 ( oona striped )	#
#	 ( mertz cat )	 ( oona cat )	#
#	 ( pumpkin striped )	 ( millie striped )	#
#	 ( mertz striped )	 ( oona striped )	#
#	 ( millie puppy )	 ( millie pet )	=
#	 ( marcel pet )	 ( marcel pony )	=
<	 ( abby kitten )	 ( abby cat )	=
#	 ( mertz cat )	 ( marcel cat )	#
#	 ( mertz striped )	 ( mertz pet )	=
#	 ( ollie puppy )	 ( abby puppy )	#
#	 ( ollie spotted )	 ( ollie dog )	=
|	 ( pumpkin dog )	 ( pumpkin cat )	=
#	 ( marcel kitten )	 ( marcel pet )	=
=	 ( pumpkin pony )	 ( pumpkin pony )	=
#	 ( ollie striped )	 ( ollie dog )	=
#	 ( millie striped )	 ( marcel striped )	#
#	 ( millie spotted )	 ( marcel spotted )	#
#	 ( mouse dog )	 ( millie dog )	#
|	 ( mouse dog )	 ( mouse pony )	=
#	 ( mertz cat )	 ( ollie cat )	#
#	 ( millie dog )	 ( marcel dog )	#
|	 ( marcel cat )	 ( marcel pony )	=
#	 ( abby cat )	 ( marcel cat )	#
=	 ( millie dog )	 ( millie dog )	=
#	 ( abby kitten )	 ( mouse kitten )	#
#	 ( mertz pony )	 ( mertz spotted )	=
#	 ( abby spotted )	 ( mouse spotted )	#
#	 ( abby cat )	 ( abby striped )	=
#	 ( mertz cat )	 ( abby cat )	#
=	 ( mertz puppy )	 ( mertz puppy )	=
#	 ( oona cat )	 ( marcel cat )	#
#	 ( oona striped )	 ( pumpkin spotted )	#
#	 ( abby striped )	 ( abby cat )	=
#	 ( mouse pet )	 ( mouse pony )	=
|	 ( mouse spotted )	 ( mouse kitten )	=
#	 ( oona cat )	 ( mertz cat )	#
#	 ( pumpkin striped )	 ( millie spotted )	#
#	 ( pumpkin pet )	 ( marcel pet )	#
#	 ( ollie cat )	 ( ollie spotted )	=
#	 ( abby dog )	 ( abby striped )	=
#	 ( ollie pet )	 ( abby pet )	#
#	 ( abby striped )	 ( marcel striped )	#
#	 ( marcel spotted )	 ( ollie striped )	#
#	 ( oona striped )	 ( oona dog )	=
#	 ( millie pony )	 ( abby pony )	#
#	 ( ollie pet )	 ( mouse pet )	#
<	 ( marcel puppy )	 ( marcel spotted )	=
#	 ( ollie kitten )	 ( oona kitten )	#
#	 ( mouse spotted )	 ( oona striped )	#
#	 ( abby spotted )	 ( abby pony )	=
#	 ( ollie striped )	 ( mouse striped )	#
#	 ( marcel kitten )	 ( millie kitten )	#
#	 ( abby striped )	 ( abby pet )	=
#	 ( pumpkin striped )	 ( ollie spotted )	#
#	 ( mertz spotted )	 ( marcel striped )	#
#	 ( mertz cat )	 ( pumpkin cat )	#
^	 ( ollie striped )	 ( ollie spotted )	=
#	 ( mertz pony )	 ( pumpkin pony )	#
>	 ( pumpkin spotted )	 ( pumpkin puppy )	=
#	 ( abby cat )	 ( pumpkin cat )	#
|	 ( ollie pony )	 ( ollie dog )	=
#	 ( ollie puppy )	 ( mouse puppy )	#
=	 ( ollie dog )	 ( ollie dog )	=
<	 ( ollie puppy )	 ( ollie dog )	=
#	 ( pumpkin pony )	 ( oona pony )	#
|	 ( oona spotted )	 ( oona kitten )	=
#	 ( pumpkin puppy )	 ( pumpkin pet )	=
#	 ( marcel pony )	 ( oona pony )	#
|	 ( mouse puppy )	 ( mouse striped )	=
>	 ( abby cat )	 ( abby kitten )	=
#	 ( oona cat )	 ( oona pet )	=
|	 ( oona dog )	 ( oona cat )	=
#	 ( mouse puppy )	 ( millie puppy )	#
<	 ( millie kitten )	 ( millie striped )	=
|	 ( mouse kitten )	 ( mouse pony )	=
#	 ( abby pet )	 ( abby dog )	=
|	 ( millie pony )	 ( millie cat )	=
#	 ( millie cat )	 ( oona cat )	#
|	 ( marcel dog )	 ( marcel kitten )	=
|	 ( pumpkin cat )	 ( pumpkin pony )	=
|	 ( ollie puppy )	 ( ollie kitten )	=
#	 ( marcel puppy )	 ( oona puppy )	#
#	 ( ollie cat )	 ( ollie striped )	=
|	 ( mouse cat )	 ( mouse pony )	=
|	 ( marcel spotted )	 ( marcel kitten )	=
=	 ( millie striped )	 ( millie striped )	=
<	 ( pumpkin puppy )	 ( pumpkin dog )	=
#	 ( ollie dog )	 ( abby dog )	#
#	 ( ollie spotted )	 ( marcel striped )	#
#	 ( abby kitten )	 ( ollie kitten )	#
#	 ( pumpkin striped )	 ( oona spotted )	#
#	 ( ollie kitten )	 ( mouse kitten )	#
#	 ( oona puppy )	 ( mouse puppy )	#
#	 ( pumpkin pony )	 ( pumpkin pet )	=
|	 ( mouse dog )	 ( mouse cat )	=
#	 ( marcel striped )	 ( mouse striped )	#
#	 ( mertz pony )	 ( mertz pet )	=
|	 ( marcel puppy )	 ( marcel pony )	=
#	 ( marcel cat )	 ( marcel spotted )	=
#	 ( pumpkin striped )	 ( abby spotted )	#
#	 ( ollie cat )	 ( abby cat )	#
#	 ( pumpkin spotted )	 ( pumpkin pet )	=
=	 ( mouse pony )	 ( mouse pony )	=
<	 ( ollie puppy )	 ( ollie spotted )	=
|	 ( mertz dog )	 ( mertz cat )	=
|	 ( oona dog )	 ( oona pony )	=
=	 ( oona cat )	 ( oona cat )	=
=	 ( oona pony )	 ( oona pony )	=
#	 ( millie pony )	 ( millie spotted )	=
|	 ( pumpkin kitten )	 ( pumpkin pony )	=
#	 ( mouse dog )	 ( ollie dog )	#
|	 ( oona puppy )	 ( oona striped )	=
#	 ( mertz kitten )	 ( ollie kitten )	#
#	 ( pumpkin pet )	 ( pumpkin spotted )	=
#	 ( millie cat )	 ( mertz cat )	#
#	 ( mouse cat )	 ( mouse spotted )	=
#	 ( marcel striped )	 ( pumpkin striped )	#
#	 ( abby puppy )	 ( millie puppy )	#
#	 ( millie striped )	 ( millie dog )	=
#	 ( abby cat )	 ( oona cat )	#
#	 ( mertz striped )	 ( abby spotted )	#
>	 ( ollie cat )	 ( ollie kitten )	=
#	 ( marcel striped )	 ( mertz striped )	#
#	 ( millie pet )	 ( millie dog )	=
#	 ( mertz kitten )	 ( mertz pet )	=
#	 ( pumpkin pet )	 ( pumpkin pony )	=
^	 ( mouse spotted )	 ( mouse striped )	=
#	 ( oona puppy )	 ( millie puppy )	#
#	 ( millie pet )	 ( oona pet )	#
|	 ( pumpkin dog )	 ( pumpkin pony )	=
#	 ( oona spotted )	 ( oona pony )	=
=	 ( marcel striped )	 ( marcel striped )	=
#	 ( pumpkin spotted )	 ( mertz striped )	#
#	 ( marcel puppy )	 ( mertz puppy )	#
=	 ( mertz pony )	 ( mertz pony )	=
#	 ( mouse dog )	 ( mouse spotted )	=
|	 ( oona dog )	 ( oona kitten )	=
|	 ( oona cat )	 ( oona puppy )	=
<	 ( marcel kitten )	 ( marcel cat )	=
|	 ( ollie dog )	 ( ollie cat )	=
#	 ( abby striped )	 ( ollie spotted )	#
#	 ( mertz striped )	 ( mertz dog )	=
#	 ( marcel striped )	 ( marcel cat )	=
#	 ( pumpkin spotted )	 ( millie spotted )	#
#	 ( mertz dog )	 ( marcel dog )	#
=	 ( millie cat )	 ( millie cat )	=
#	 ( mertz kitten )	 ( millie kitten )	#
#	 ( ollie kitten )	 ( mertz kitten )	#
#	 ( oona striped )	 ( abby spotted )	#
#	 ( millie pet )	 ( millie pony )	=
|	 ( oona pony )	 ( oona dog )	=
#	 ( abby striped )	 ( mouse striped )	#
#	 ( pumpkin dog )	 ( pumpkin spotted )	=
#	 ( mouse striped )	 ( mouse dog )	=
#	 ( mouse striped )	 ( pumpkin striped )	#
<	 ( oona kitten )	 ( oona cat )	=
|	 ( pumpkin kitten )	 ( pumpkin puppy )	=
|	 ( mertz puppy )	 ( mertz pony )	=
>	 ( abby striped )	 ( abby kitten )	=
#	 ( mertz striped )	 ( oona spotted )	#
#	 ( ollie spotted )	 ( abby spotted )	#
|	 ( abby cat )	 ( abby puppy )	=
#	 ( marcel spotted )	 ( marcel dog )	=
|	 ( ollie pony )	 ( ollie puppy )	=
#	 ( mertz pony )	 ( marcel pony )	#
#	 ( oona dog )	 ( mouse dog )	#
#	 ( millie striped )	 ( mertz spotted )	#
#	 ( mouse spotted )	 ( mouse dog )	=
|	 ( millie puppy )	 ( millie pony )	=
<	 ( pumpkin kitten )	 ( pumpkin cat )	=
#	 ( pumpkin striped )	 ( pumpkin cat )	=
#	 ( marcel striped )	 ( oona spotted )	#
|	 ( millie spotted )	 ( millie kitten )	=
#	 ( millie dog )	 ( ollie dog )	#
>	 ( millie dog )	 ( millie puppy )	=
#	 ( oona striped )	 ( millie striped )	#
|	 ( millie dog )	 ( millie pony )	=
#	 ( marcel kitten )	 ( oona kitten )	#
#	 ( marcel pet )	 ( marcel striped )	=
#	 ( oona striped )	 ( marcel spotted )	#
#	 ( pumpkin pet )	 ( pumpkin striped )	=
#	 ( ollie kitten )	 ( ollie pet )	=
#	 ( abby pony )	 ( mouse pony )	#
#	 ( mertz spotted )	 ( pumpkin striped )	#
=	 ( pumpkin spotted )	 ( pumpkin spotted )	=
|	 ( oona puppy )	 ( oona pony )	=
#	 ( mouse striped )	 ( pumpkin spotted )	#
|	 ( millie pony )	 ( millie kitten )	=
=	 ( millie pet )	 ( millie pet )	=
#	 ( pumpkin pet )	 ( pumpkin puppy )	=
#	 ( marcel dog )	 ( pumpkin dog )	#
|	 ( marcel kitten )	 ( marcel puppy )	=
|	 ( millie striped )	 ( millie puppy )	=
#	 ( abby pony )	 ( abby striped )	=
#	 ( marcel spotted )	 ( oona striped )	#
#	 ( abby puppy )	 ( mertz puppy )	#
<	 ( abby puppy )	 ( abby spotted )	=
#	 ( mertz kitten )	 ( marcel kitten )	#
#	 ( marcel striped )	 ( millie spotted )	#
|	 ( pumpkin puppy )	 ( pumpkin striped )	=
#	 ( oona kitten )	 ( millie kitten )	#
#	 ( pumpkin dog )	 ( pumpkin striped )	=
#	 ( mouse dog )	 ( mouse pet )	=
=	 ( pumpkin dog )	 ( pumpkin dog )	=
#	 ( marcel pony )	 ( marcel pet )	=
=	 ( abby striped )	 ( abby striped )	=
