#	 ( ( marcel ( or millie ) ) dog )	 ( ollie dog )	#
#	 ( abby pet )	 ( ( mertz ( and millie ) ) pet )	#
#	 ( ( mertz ( and mertz ) ) cat )	 ( ollie cat )	#
#	 ( ollie dog )	 ( ( mertz ( or pumpkin ) ) dog )	#
#	 ( ( abby ( and abby ) ) pet )	 ( abby spotted )	=
|	 ( oona spotted )	 ( ( mouse ( and oona ) ) striped )	>
|	 ( ( ollie ( or millie ) ) pony )	 ( millie puppy )	>
#	 ( mouse pet )	 ( ( pumpkin ( and pumpkin ) ) pet )	#
#	 ( mertz kitten )	 ( ( mouse ( or marcel ) ) kitten )	#
#	 ( ( mertz ( and ( mouse ( or mertz ) ) ) ) puppy )	 ( mertz pet )	=
|	 ( ( ollie ( or pumpkin ) ) dog )	 ( ollie kitten )	>
|	 ( ( mertz ( and mertz ) ) kitten )	 ( mertz spotted )	=
>	 ( ( ollie ( and ollie ) ) cat )	 ( ollie kitten )	=
^	 ( ( mouse ( or mouse ) ) spotted )	 ( mouse striped )	=
|	 ( mouse spotted )	 ( ( mouse ( and mertz ) ) kitten )	>
>	 ( millie pet )	 ( ( abby ( and ( millie ( or millie ) ) ) ) pet )	>
|	 ( ( pumpkin ( or mertz ) ) spotted )	 ( pumpkin kitten )	>
<	 ( ( ollie ( and mertz ) ) dog )	 ( mertz dog )	<
|	 ( ( ( oona ( or ollie ) ) ( or ollie ) ) pony )	 ( oona puppy )	>
|	 ( ollie cat )	 ( ( ( ollie ( or ollie ) ) ( and ollie ) ) puppy )	=
>	 ( abby puppy )	 ( ( abby ( and marcel ) ) puppy )	>
#	 ( abby striped )	 ( ( ollie ( and ollie ) ) spotted )	#
|	 ( ( oona ( and oona ) ) pony )	 ( ( oona ( and oona ) ) cat )	=
=	 ( oona kitten )	 ( ( oona ( or oona ) ) kitten )	=
|	 ( ( pumpkin ( or ollie ) ) puppy )	 ( pumpkin kitten )	>
>	 ( ( oona ( or mouse ) ) dog )	 ( ( pumpkin ( and mouse ) ) dog )	>
#	 ( ( mouse ( and abby ) ) spotted )	 ( pumpkin striped )	#
>	 ( mouse pet )	 ( ( mouse ( and mertz ) ) pet )	>
>	 ( millie puppy )	 ( ( mertz ( and millie ) ) puppy )	>
#	 ( ( millie ( and marcel ) ) kitten )	 ( oona kitten )	#
<	 ( pumpkin puppy )	 ( ( pumpkin ( and pumpkin ) ) dog )	=
|	 ( ( mouse ( or ( oona ( or marcel ) ) ) ) puppy )	 ( oona cat )	>
|	 ( ollie dog )	 ( ( marcel ( and ollie ) ) pony )	>
<	 ( ( millie ( and pumpkin ) ) puppy )	 ( millie spotted )	<
|	 ( ( mouse ( or ( abby ( or mouse ) ) ) ) dog )	 ( mouse cat )	>
#	 ( abby striped )	 ( ( abby ( or abby ) ) pony )	=
>	 ( ( ollie ( or ( oona ( and abby ) ) ) ) dog )	 ( ollie dog )	>
|	 ( ( mertz ( or mouse ) ) striped )	 ( mouse spotted )	>
|	 ( abby cat )	 ( ( abby ( and ( abby ( or abby ) ) ) ) pony )	=
|	 ( oona puppy )	 ( ( oona ( and ollie ) ) cat )	>
#	 ( ( millie ( or mouse ) ) pony )	 ( ( oona ( or marcel ) ) pony )	#
|	 ( ( mouse ( or oona ) ) striped )	 ( mouse puppy )	>
#	 ( ( oona ( and ollie ) ) dog )	 ( abby dog )	#
#	 ( mouse pet )	 ( ( oona ( or ( abby ( and mouse ) ) ) ) pet )	#
^	 ( pumpkin striped )	 ( ( pumpkin ( or pumpkin ) ) spotted )	=
#	 ( mertz pet )	 ( ( marcel ( or pumpkin ) ) pet )	#
#	 ( ( ollie ( and marcel ) ) cat )	 ( ( mouse ( and ollie ) ) cat )	#
#	 ( mertz cat )	 ( ( marcel ( or ( mouse ( or mouse ) ) ) ) cat )	#
#	 ( ( abby ( or abby ) ) pony )	 ( abby striped )	=
#	 ( mouse cat )	 ( ( mertz ( or mertz ) ) cat )	#
>	 ( ( abby ( or marcel ) ) puppy )	 ( marcel puppy )	>
=	 ( ( oona ( and oona ) ) striped )	 ( oona striped )	=
<	 ( marcel kitten )	 ( ( marcel ( or marcel ) ) striped )	=
>	 ( abby striped )	 ( ( pumpkin ( and abby ) ) striped )	>
#	 ( ( oona ( and ( mouse ( or oona ) ) ) ) puppy )	 ( ollie puppy )	#
#	 ( oona dog )	 ( ( ( millie ( and mertz ) ) ( or millie ) ) dog )	#
#	 ( ( ollie ( and ollie ) ) spotted )	 ( mertz striped )	#
|	 ( ( mouse ( or abby ) ) pony )	 ( mouse puppy )	>
|	 ( mertz spotted )	 ( ( marcel ( and mertz ) ) striped )	>
=	 ( ( mouse ( or ( mouse ( or mouse ) ) ) ) pony )	 ( mouse pony )	=
#	 ( mouse striped )	 ( ( ollie ( or oona ) ) spotted )	#
|	 ( ( mouse ( or marcel ) ) cat )	 ( ( mouse ( and mertz ) ) pony )	>
>	 ( ( mertz ( or abby ) ) pet )	 ( mertz pet )	>
#	 ( oona pet )	 ( ( mertz ( or mertz ) ) pet )	#
|	 ( abby dog )	 ( ( abby ( and pumpkin ) ) cat )	>
#	 ( mertz pet )	 ( ( mertz ( and mertz ) ) pony )	=
=	 ( ( ollie ( and ollie ) ) pet )	 ( ollie pet )	=
|	 ( ( mertz ( and mertz ) ) pony )	 ( mertz dog )	=
|	 ( mertz cat )	 ( ( mertz ( and mertz ) ) pony )	=
#	 ( ( ollie ( or pumpkin ) ) dog )	 ( ( abby ( and abby ) ) dog )	#
<	 ( ( marcel ( and ollie ) ) puppy )	 ( ollie puppy )	<
|	 ( marcel pony )	 ( ( marcel ( and mertz ) ) cat )	>
|	 ( ( pumpkin ( or mouse ) ) dog )	 ( mouse cat )	>
|	 ( ollie dog )	 ( ( ( mertz ( and ollie ) ) ( or ollie ) ) cat )	=
#	 ( mertz striped )	 ( ( mertz ( and mertz ) ) pony )	=
|	 ( millie kitten )	 ( ( millie ( and ollie ) ) pony )	>
#	 ( ( oona ( and pumpkin ) ) dog )	 ( abby dog )	#
#	 ( ( abby ( or mouse ) ) kitten )	 ( ollie kitten )	#
#	 ( ( mertz ( and mertz ) ) spotted )	 ( ollie striped )	#
|	 ( mouse cat )	 ( ( pumpkin ( and mouse ) ) dog )	>
#	 ( mouse kitten )	 ( ( oona ( or oona ) ) kitten )	#
<	 ( millie puppy )	 ( ( millie ( or abby ) ) dog )	<
#	 ( ( oona ( or oona ) ) pony )	 ( pumpkin pony )	#
#	 ( ollie dog )	 ( ( marcel ( or ( mouse ( or abby ) ) ) ) dog )	#
|	 ( ( pumpkin ( or ollie ) ) kitten )	 ( pumpkin puppy )	>
<	 ( ( millie ( and mouse ) ) striped )	 ( mouse striped )	<
#	 ( ( ollie ( or ollie ) ) pet )	 ( ollie striped )	=
#	 ( ( mouse ( and mertz ) ) spotted )	 ( millie spotted )	#
|	 ( ( ollie ( or abby ) ) pony )	 ( abby puppy )	>
|	 ( mouse spotted )	 ( ( mouse ( and mertz ) ) striped )	>
<	 ( pumpkin pony )	 ( ( mertz ( or pumpkin ) ) pony )	<
|	 ( ( pumpkin ( or abby ) ) kitten )	 ( abby spotted )	>
#	 ( abby cat )	 ( ( abby ( and abby ) ) pet )	=
#	 ( millie striped )	 ( ( ollie ( and marcel ) ) striped )	#
#	 ( ( abby ( and pumpkin ) ) puppy )	 ( oona puppy )	#
|	 ( mertz puppy )	 ( ( mertz ( or mertz ) ) kitten )	=
|	 ( ( millie ( and millie ) ) puppy )	 ( millie cat )	=
#	 ( mertz pet )	 ( ( ( marcel ( or abby ) ) ( and mouse ) ) pet )	#
|	 ( ( marcel ( or mertz ) ) dog )	 ( mertz pony )	>
|	 ( oona cat )	 ( ( mertz ( and ( pumpkin ( and oona ) ) ) ) pony )	>
|	 ( ( abby ( or ( ollie ( or mouse ) ) ) ) puppy )	 ( ollie pony )	>
#	 ( ( pumpkin ( and millie ) ) striped )	 ( mertz spotted )	#
#	 ( ( marcel ( and marcel ) ) puppy )	 ( oona puppy )	#
|	 ( ( abby ( or ( ollie ( and abby ) ) ) ) dog )	 ( abby cat )	=
#	 ( mertz spotted )	 ( ( millie ( or oona ) ) striped )	#
#	 ( oona cat )	 ( ( mertz ( and pumpkin ) ) cat )	#
#	 ( ( marcel ( and marcel ) ) striped )	 ( marcel dog )	=
<	 ( ( mertz ( and marcel ) ) striped )	 ( marcel striped )	<
>	 ( ( mouse ( or millie ) ) pet )	 ( millie pet )	>
|	 ( ( ( mertz ( or millie ) ) ( or oona ) ) dog )	 ( oona pony )	>
<	 ( ( mertz ( and ollie ) ) cat )	 ( mertz cat )	<
#	 ( ( ( millie ( and mertz ) ) ( or abby ) ) pet )	 ( millie pet )	#
>	 ( ollie dog )	 ( ( ollie ( and pumpkin ) ) dog )	>
|	 ( ( ollie ( and ollie ) ) cat )	 ( ollie dog )	=
<	 ( ( mouse ( and oona ) ) striped )	 ( oona striped )	<
#	 ( ( marcel ( and mouse ) ) dog )	 ( mertz dog )	#
<	 ( marcel puppy )	 ( ( marcel ( or millie ) ) puppy )	<
#	 ( pumpkin spotted )	 ( ( mertz ( or mouse ) ) striped )	#
#	 ( ( pumpkin ( and pumpkin ) ) striped )	 ( pumpkin dog )	=
|	 ( ollie cat )	 ( ( ollie ( and marcel ) ) dog )	>
|	 ( ollie pony )	 ( ( ollie ( and marcel ) ) puppy )	>
>	 ( ( pumpkin ( or oona ) ) striped )	 ( pumpkin striped )	>
#	 ( ( millie ( or ollie ) ) puppy )	 ( mouse puppy )	#
|	 ( ( pumpkin ( or mertz ) ) kitten )	 ( pumpkin dog )	>
>	 ( ( mouse ( or oona ) ) cat )	 ( ( mouse ( and mouse ) ) cat )	>
#	 ( ( mertz ( or mertz ) ) spotted )	 ( abby spotted )	#
<	 ( ( millie ( and ollie ) ) kitten )	 ( millie cat )	<
#	 ( ( ollie ( and millie ) ) kitten )	 ( mouse kitten )	#
|	 ( pumpkin pony )	 ( ( mertz ( and pumpkin ) ) kitten )	>
=	 ( ( ( mouse ( or ollie ) ) ( and ollie ) ) pet )	 ( ollie pet )	=
#	 ( ( mouse ( or mouse ) ) dog )	 ( ollie dog )	#
#	 ( abby puppy )	 ( ( abby ( and abby ) ) pet )	=
|	 ( ( ollie ( or ( pumpkin ( and ollie ) ) ) ) cat )	 ( ollie dog )	=
|	 ( millie cat )	 ( ( millie ( and marcel ) ) puppy )	>
#	 ( marcel striped )	 ( ( marcel ( and marcel ) ) pet )	=
<	 ( millie kitten )	 ( ( millie ( or millie ) ) striped )	=
<	 ( mouse puppy )	 ( ( mertz ( or mouse ) ) spotted )	<
|	 ( ( mouse ( or mertz ) ) spotted )	 ( mertz kitten )	>
#	 ( ( ollie ( and ollie ) ) pony )	 ( pumpkin pony )	#
>	 ( ( ( marcel ( or oona ) ) ( or abby ) ) cat )	 ( oona kitten )	>
#	 ( ( oona ( and oona ) ) spotted )	 ( millie striped )	#
#	 ( ( abby ( and ( pumpkin ( or marcel ) ) ) ) cat )	 ( ollie cat )	#
=	 ( ( ollie ( or ollie ) ) puppy )	 ( ollie puppy )	=
|	 ( ( ollie ( or marcel ) ) puppy )	 ( marcel striped )	>
#	 ( abby pet )	 ( ( mouse ( and mouse ) ) pet )	#
>	 ( ( ollie ( or abby ) ) spotted )	 ( ollie spotted )	>
>	 ( millie striped )	 ( ( abby ( and millie ) ) striped )	>
<	 ( mouse puppy )	 ( ( mouse ( or mouse ) ) spotted )	=
#	 ( ( mouse ( or abby ) ) puppy )	 ( ollie puppy )	#
>	 ( ( mouse ( or pumpkin ) ) cat )	 ( pumpkin kitten )	>
<	 ( oona kitten )	 ( ( pumpkin ( or oona ) ) kitten )	<
|	 ( ( pumpkin ( or oona ) ) dog )	 ( pumpkin kitten )	>
|	 ( ( abby ( or mouse ) ) puppy )	 ( abby pony )	>
#	 ( oona puppy )	 ( ( abby ( or ( ollie ( or millie ) ) ) ) puppy )	#
<	 ( abby spotted )	 ( ( abby ( or pumpkin ) ) spotted )	<
>	 ( ( marcel ( or ollie ) ) cat )	 ( marcel kitten )	>
>	 ( ( mouse ( or mouse ) ) cat )	 ( ( mouse ( and ollie ) ) cat )	>
>	 ( ( abby ( or ollie ) ) dog )	 ( abby puppy )	>
>	 ( ( marcel ( or mouse ) ) dog )	 ( marcel dog )	>
>	 ( ollie pony )	 ( ( ollie ( and mertz ) ) pony )	>
|	 ( ( millie ( or pumpkin ) ) cat )	 ( pumpkin dog )	>
|	 ( mertz pony )	 ( ( ollie ( and mertz ) ) dog )	>
#	 ( ( mouse ( and mouse ) ) pet )	 ( millie pet )	#
>	 ( ( millie ( or pumpkin ) ) striped )	 ( pumpkin striped )	>
|	 ( millie spotted )	 ( ( millie ( and pumpkin ) ) striped )	>
|	 ( abby kitten )	 ( ( abby ( and abby ) ) spotted )	=
v	 ( abby striped )	 ( ( marcel ( or abby ) ) spotted )	<
|	 ( marcel pony )	 ( ( marcel ( and marcel ) ) cat )	=
#	 ( pumpkin pony )	 ( ( ollie ( or mertz ) ) pony )	#
|	 ( ollie kitten )	 ( ( oona ( and ollie ) ) pony )	>
>	 ( oona dog )	 ( ( pumpkin ( and oona ) ) dog )	>
|	 ( millie kitten )	 ( ( oona ( and millie ) ) spotted )	>
<	 ( ollie spotted )	 ( ( ollie ( or mouse ) ) spotted )	<
#	 ( pumpkin pet )	 ( ( ollie ( or marcel ) ) pet )	#
#	 ( mertz pet )	 ( ( ( abby ( or abby ) ) ( or mouse ) ) pet )	#
>	 ( mouse cat )	 ( ( mouse ( and mouse ) ) kitten )	=
=	 ( ( marcel ( or marcel ) ) pony )	 ( marcel pony )	=
|	 ( ( abby ( and ( pumpkin ( or abby ) ) ) ) dog )	 ( abby pony )	=
<	 ( ( mouse ( and millie ) ) dog )	 ( mouse dog )	<
|	 ( ( oona ( or marcel ) ) kitten )	 ( ( oona ( and oona ) ) pony )	>
#	 ( mertz dog )	 ( ( mertz ( and mertz ) ) pet )	=
#	 ( ollie pony )	 ( ( abby ( and millie ) ) pony )	#
>	 ( ( oona ( or marcel ) ) spotted )	 ( oona spotted )	>
#	 ( ( marcel ( or marcel ) ) striped )	 ( pumpkin spotted )	#
^	 ( ( mouse ( and mouse ) ) spotted )	 ( mouse striped )	=
<	 ( pumpkin dog )	 ( ( pumpkin ( or ollie ) ) dog )	<
#	 ( ( oona ( and marcel ) ) cat )	 ( mouse cat )	#
#	 ( ( marcel ( and abby ) ) puppy )	 ( mertz puppy )	#
>	 ( mouse striped )	 ( ( mouse ( and oona ) ) kitten )	>
<	 ( pumpkin pet )	 ( ( millie ( or pumpkin ) ) pet )	<
#	 ( ( millie ( or millie ) ) pet )	 ( millie dog )	=
|	 ( ( mertz ( and ollie ) ) cat )	 ( ( mertz ( and ollie ) ) dog )	=
#	 ( ( pumpkin ( and pumpkin ) ) spotted )	 ( oona striped )	#
|	 ( mouse cat )	 ( ( ollie ( and mouse ) ) dog )	>
|	 ( mertz kitten )	 ( ( mertz ( and pumpkin ) ) puppy )	>
#	 ( pumpkin kitten )	 ( ( abby ( and millie ) ) kitten )	#
>	 ( millie dog )	 ( ( pumpkin ( and millie ) ) puppy )	>
#	 ( millie dog )	 ( ( marcel ( or marcel ) ) dog )	#
#	 ( ( mouse ( and millie ) ) spotted )	 ( marcel spotted )	#
#	 ( millie cat )	 ( ( mouse ( or mertz ) ) cat )	#
#	 ( ( mouse ( and pumpkin ) ) puppy )	 ( ollie puppy )	#
|	 ( ( ( marcel ( or marcel ) ) ( or oona ) ) pony )	 ( oona cat )	>
<	 ( ( ollie ( and mertz ) ) cat )	 ( ollie cat )	<
|	 ( ( millie ( or millie ) ) puppy )	 ( millie cat )	=
|	 ( oona dog )	 ( ( oona ( or oona ) ) pony )	=
#	 ( ( ollie ( and oona ) ) spotted )	 ( mouse spotted )	#
|	 ( oona dog )	 ( ( oona ( and mouse ) ) kitten )	>
#	 ( ( oona ( and oona ) ) pet )	 ( oona pony )	=
|	 ( ( oona ( or marcel ) ) striped )	 ( marcel puppy )	>
|	 ( ( millie ( or marcel ) ) dog )	 ( millie pony )	>
#	 ( ( ( marcel ( and oona ) ) ( or ollie ) ) dog )	 ( mertz dog )	#
|	 ( ollie striped )	 ( ( marcel ( and ollie ) ) spotted )	>
#	 ( ( abby ( and abby ) ) pony )	 ( marcel pony )	#
v	 ( ( millie ( and marcel ) ) striped )	 ( millie spotted )	<
>	 ( ( mertz ( or oona ) ) puppy )	 ( mertz puppy )	>
#	 ( ( marcel ( and millie ) ) pet )	 ( oona pet )	#
#	 ( ( mertz ( or millie ) ) kitten )	 ( oona kitten )	#
>	 ( abby dog )	 ( ( ( oona ( or oona ) ) ( and abby ) ) puppy )	>
v	 ( ( abby ( and marcel ) ) spotted )	 ( marcel striped )	<
#	 ( ( abby ( or marcel ) ) cat )	 ( oona cat )	#
#	 ( ( millie ( and abby ) ) puppy )	 ( mouse puppy )	#
|	 ( marcel spotted )	 ( ( marcel ( or marcel ) ) kitten )	=
<	 ( oona striped )	 ( ( oona ( or mertz ) ) striped )	<
|	 ( ( oona ( and oona ) ) puppy )	 ( oona pony )	=
#	 ( oona dog )	 ( ( oona ( and oona ) ) pet )	=
>	 ( ( abby ( or millie ) ) spotted )	 ( abby puppy )	>
|	 ( ( oona ( or marcel ) ) kitten )	 ( marcel spotted )	>
<	 ( oona puppy )	 ( ( oona ( or pumpkin ) ) puppy )	<
<	 ( ( mouse ( and marcel ) ) pony )	 ( mouse pony )	<
<	 ( mouse puppy )	 ( ( mouse ( and mouse ) ) dog )	=
#	 ( mouse pony )	 ( ( mouse ( and mouse ) ) striped )	=
>	 ( ( ( oona ( or mouse ) ) ( or mouse ) ) cat )	 ( mouse cat )	>
|	 ( ( ( mertz ( and mertz ) ) ( or ollie ) ) dog )	 ( ollie cat )	>
>	 ( ( oona ( or abby ) ) pet )	 ( abby pet )	>
>	 ( marcel kitten )	 ( ( marcel ( and oona ) ) kitten )	>
|	 ( ( mertz ( or marcel ) ) cat )	 ( marcel puppy )	>
<	 ( pumpkin spotted )	 ( ( pumpkin ( or millie ) ) spotted )	<
<	 ( abby cat )	 ( ( abby ( or mouse ) ) cat )	<
|	 ( ollie striped )	 ( ( ollie ( and abby ) ) puppy )	>
=	 ( millie puppy )	 ( ( millie ( and millie ) ) puppy )	=
#	 ( oona cat )	 ( ( oona ( and oona ) ) pet )	=
>	 ( pumpkin pony )	 ( ( abby ( and pumpkin ) ) pony )	>
<	 ( ( ollie ( and pumpkin ) ) pet )	 ( ollie pet )	<
<	 ( ( abby ( and abby ) ) puppy )	 ( abby dog )	=
<	 ( ( mouse ( and ( abby ( or abby ) ) ) ) pony )	 ( mouse pony )	<
#	 ( mertz cat )	 ( ( oona ( and abby ) ) cat )	#
#	 ( pumpkin spotted )	 ( ( mouse ( and mouse ) ) striped )	#
>	 ( ( oona ( or mertz ) ) cat )	 ( oona kitten )	>
|	 ( oona striped )	 ( ( oona ( and marcel ) ) puppy )	>
|	 ( ( marcel ( or ollie ) ) kitten )	 ( ollie dog )	>
=	 ( mertz cat )	 ( ( mertz ( or mertz ) ) cat )	=
|	 ( mertz puppy )	 ( ( mertz ( and millie ) ) striped )	>
^	 ( ( mouse ( and mouse ) ) striped )	 ( mouse spotted )	=
#	 ( ollie pet )	 ( ( mouse ( or mouse ) ) pet )	#
#	 ( ( mertz ( or mertz ) ) pet )	 ( mertz puppy )	=
#	 ( ( oona ( or marcel ) ) puppy )	 ( ollie puppy )	#
#	 ( mertz pet )	 ( ( abby ( or pumpkin ) ) pet )	#
#	 ( oona spotted )	 ( ( millie ( and millie ) ) striped )	#
#	 ( ollie striped )	 ( ( mouse ( or millie ) ) striped )	#
<	 ( marcel kitten )	 ( ( marcel ( or ollie ) ) striped )	<
|	 ( ( mouse ( or oona ) ) striped )	 ( mouse spotted )	>
|	 ( ( oona ( or ollie ) ) puppy )	 ( ollie kitten )	>
#	 ( mouse kitten )	 ( ( mouse ( or ( oona ( and mouse ) ) ) ) pet )	=
|	 ( ( ollie ( or millie ) ) puppy )	 ( millie cat )	>
#	 ( ( ollie ( or pumpkin ) ) spotted )	 ( millie striped )	#
#	 ( ( oona ( or mertz ) ) pony )	 ( abby pony )	#
>	 ( oona pet )	 ( ( oona ( and abby ) ) pet )	>
#	 ( ( ollie ( and marcel ) ) spotted )	 ( millie spotted )	#
|	 ( ( ollie ( or ( ollie ( or mouse ) ) ) ) dog )	 ( ollie kitten )	>
#	 ( mertz pet )	 ( ( millie ( or millie ) ) pet )	#
|	 ( ( pumpkin ( and pumpkin ) ) kitten )	 ( pumpkin spotted )	=
#	 ( ( mertz ( and mertz ) ) cat )	 ( pumpkin cat )	#
#	 ( ( millie ( or ( millie ( or millie ) ) ) ) pet )	 ( mertz pet )	#
|	 ( mouse puppy )	 ( ( abby ( and mouse ) ) cat )	>
<	 ( pumpkin kitten )	 ( ( pumpkin ( and pumpkin ) ) cat )	=
|	 ( abby striped )	 ( ( oona ( and abby ) ) spotted )	>
<	 ( oona cat )	 ( ( oona ( or marcel ) ) cat )	<
>	 ( ( ollie ( or abby ) ) striped )	 ( abby kitten )	>
|	 ( ( mertz ( or abby ) ) kitten )	 ( abby spotted )	>
#	 ( ( oona ( or oona ) ) dog )	 ( oona pet )	=
#	 ( ollie dog )	 ( ( oona ( and pumpkin ) ) dog )	#
>	 ( ollie dog )	 ( ( ollie ( or ollie ) ) puppy )	=
>	 ( ( abby ( or ( mertz ( or pumpkin ) ) ) ) cat )	 ( pumpkin cat )	>
#	 ( mertz dog )	 ( ( marcel ( or abby ) ) dog )	#
v	 ( ( ollie ( and millie ) ) spotted )	 ( ollie striped )	<
#	 ( marcel dog )	 ( ( oona ( or oona ) ) dog )	#
#	 ( ( mouse ( and millie ) ) striped )	 ( marcel striped )	#
>	 ( ( abby ( or abby ) ) striped )	 ( abby kitten )	=
|	 ( ( oona ( or abby ) ) pony )	 ( abby cat )	>
#	 ( ( ollie ( and oona ) ) dog )	 ( marcel dog )	#
<	 ( abby kitten )	 ( ( abby ( or abby ) ) cat )	=
|	 ( mertz kitten )	 ( ( mertz ( or mertz ) ) spotted )	=
#	 ( pumpkin striped )	 ( ( mertz ( and abby ) ) spotted )	#
#	 ( pumpkin pet )	 ( ( mertz ( and ollie ) ) pet )	#
